### Footprint positions - created on 2024-07-08T22:43:48-0500 ###
### Printed by KiCad version 8.0.2-1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                     Package                                                PosX       PosY       Rot  Side
R35       4K7                     R_0805_2012Metric                                  126.3750  -171.6250  180.0000  top
R36       4K7                     R_0805_2012Metric                                  124.1250  -105.2050  -90.0000  top
R37       4K7                     R_0805_2012Metric                                  122.1750  -105.1950   90.0000  top
R38       4K7                     R_0805_2012Metric                                  126.0500  -105.2000   90.0000  top
R44       4K7                     R_0805_2012Metric                                  129.1000  -105.2000   90.0000  top
R45       4K7                     R_0805_2012Metric                                   93.8050  -100.5850  -90.0000  top
R46       470                     R_0805_2012Metric                                   77.2770  -115.4354  -90.0000  top
R47       1K5-1%                  R_0805_2012Metric                                   94.6150  -155.0375   90.0000  top
R48       1K8-1%                  R_0805_2012Metric                                   98.1150  -151.1000  -90.0000  top
R49       11-1%                   R_0805_2012Metric                                   98.1150  -155.0375  -90.0000  top
R50       1K5-1%                  R_0805_2012Metric                                   98.1150  -159.1000  -90.0000  top
R51       1K8-1%                  R_0805_2012Metric                                  101.6150  -151.1000  -90.0000  top
R52       11-1%                   R_0805_2012Metric                                  101.6150  -155.1000   90.0000  top
R53       1K5-1%                  R_0805_2012Metric                                  101.6150  -159.1000  -90.0000  top
R54       4K7                     R_0805_2012Metric                                  113.1000  -151.4000  -90.0000  top
R55       4K7                     R_0805_2012Metric                                  113.1150  -157.5500  -90.0000  top
SW1       SK12D07L4B              SK12D07VG4                                         131.5000  -100.6535  180.0000  top
U1        SC0915_PICO             Pico_W_SC0915                                      108.9000  -121.5000    0.0000  top
U2        M24C02                  SOIC-8_3.9x4.9mm_P1.27mm                            87.2750  -168.2050    0.0000  top
U3        74HC595D                SOIC-16_W3.90mm                                    124.5000  -114.5150  -90.0000  top
U4        74HC595D                SOIC-16_W3.90mm                                    132.2750  -114.5000  -90.0000  top
U5        74HC595D                SOIC-16_W3.90mm                                     91.1250  -110.9750  -90.0000  top
U6        LP38693MP-5.0           SOT-223-5                                           87.3354  -100.5764    0.0000  top
U7        SSP9193-33M5R           SOT-23-5                                            86.9036  -158.0820  180.0000  top
U8        SN74LV1T125DBVR         SOT-23-5                                            80.5125  -115.3125  -90.0000  top
U9        LM393                   SOIC-8_W3.9mm                                      108.0500  -152.4000  -90.0000  top
U10       74HC02                  SOIC-14_3.9x8.7mm_P1.27mm                          121.3650  -154.0000    0.0000  top
X3        Conn_01x10_Female       PinSocket_1x10_P2.54mm_Vertical                     96.2500  -170.3330   90.0000  top
X4        CA_SR_GPO_EFGH          PinSocket_1x04_P2.54mm_Vertical                     84.4750  -107.8000    0.0000  top
X5        Conn_01x11_Female       PinSocket_1x11_P2.54mm_Vertical                     96.2500  -175.4600   90.0000  top
X9        Conn_4_QWIIC            JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal    78.4500  -167.0250  -90.0000  top
X71       Conn_01x07_Female       PinSocket_1x07_P2.54mm_Vertical                    124.1400  -178.0000   90.0000  top
X72       Conn_01x07_Female       PinSocket_1x07_P2.54mm_Vertical                     78.4200  -178.0000   90.0000  top
## End
